Date,Open,High,Low,Close,Adj Close,Volume,GM
2012-09-14,23.690001,24.330000,23.629999,24.139999,20.670853,11881300,GM
2012-09-17,23.920000,23.950001,23.730000,23.799999,20.379715,6098600,GM
2012-09-18,24.290001,24.450001,24.020000,24.430000,20.919176,11308000,GM
2012-09-19,24.360001,25.150000,24.320000,24.750000,21.193188,16033600,GM
2012-09-20,24.340000,24.540001,23.910000,24.420000,20.910614,7414900,GM
2012-09-21,24.540001,24.889999,24.500000,24.799999,21.236002,12189300,GM
2012-09-24,24.510000,24.680000,24.120001,24.360001,20.859236,5689300,GM
2012-09-25,24.430000,24.500000,23.280001,23.520000,20.139950,10326800,GM
2012-09-26,23.250000,23.730000,22.850000,23.389999,20.028633,8329400,GM
2012-09-27,23.670000,23.700001,23.139999,23.180000,19.848816,6843400,GM
2012-09-28,23.000000,23.100000,22.709999,22.750000,19.480610,8614500,GM
2012-10-01,23.000000,23.410000,22.850000,23.090000,19.771746,7582100,GM
2012-10-02,23.500000,24.100000,22.670000,23.680000,20.276958,21403400,GM
2012-10-03,23.709999,24.610001,23.660000,24.389999,20.884922,14739000,GM
2012-10-04,24.549999,24.670000,24.320000,24.650000,21.107559,8693500,GM
2012-10-05,24.879999,25.430000,24.570000,24.799999,21.236002,14251000,GM
2012-10-08,24.790001,24.809999,24.510000,24.570000,21.039055,6249500,GM
2012-10-09,24.740000,24.860001,24.270000,24.370001,20.867800,7210000,GM
2012-10-10,24.410000,24.580000,24.100000,24.230000,20.747921,6049300,GM
2012-10-11,24.410000,24.990000,24.230000,24.660000,21.116121,8771700,GM
2012-10-12,24.559999,24.830000,24.330000,24.440001,20.927738,4230300,GM
2012-10-15,24.510000,24.580000,24.330000,24.480000,20.961990,5114300,GM
2012-10-16,24.520000,24.850000,24.410000,24.790001,21.227438,4252100,GM
2012-10-17,24.900000,25.129999,24.600000,25.059999,21.458637,6002700,GM
2012-10-18,25.090000,25.719999,24.959999,25.559999,21.886784,9762100,GM
2012-10-19,25.430000,25.500000,24.549999,24.590000,21.056185,10454300,GM
2012-10-22,24.559999,24.850000,24.280001,24.620001,21.081867,7067800,GM
2012-10-23,24.070000,24.100000,23.730000,23.870001,20.439655,8196000,GM
2012-10-24,24.150000,24.270000,23.660000,23.690001,20.285515,6230800,GM
2012-10-25,23.980000,24.270000,23.580000,23.629999,20.234142,11875900,GM
2012-10-26,23.610001,23.900000,23.190001,23.280001,19.934443,10146900,GM
2012-10-31,24.299999,25.719999,23.900000,25.500000,21.835409,24700200,GM
2012-11-01,25.530001,25.850000,24.910000,25.680000,21.989536,14558100,GM
2012-11-02,25.809999,25.990000,25.549999,25.790001,22.083731,9918400,GM
2012-11-05,25.440001,25.990000,25.350000,25.570000,21.895350,7680700,GM
2012-11-06,25.590000,26.270000,25.450001,26.190001,22.426247,10888500,GM
2012-11-07,25.639999,25.670000,24.920000,25.030001,21.432951,11106300,GM
2012-11-08,25.219999,25.500000,24.700001,24.719999,21.167500,5239800,GM
2012-11-09,24.379999,25.280001,24.379999,25.040001,21.441509,7648400,GM
2012-11-12,25.049999,25.379999,25.049999,25.260000,21.629896,5297000,GM
2012-11-13,24.889999,25.180000,24.750000,24.820000,21.253128,9697600,GM
2012-11-14,24.930000,24.990000,24.100000,24.170000,20.696537,9587600,GM
2012-11-15,24.180000,24.190001,23.540001,23.879999,20.448214,9371700,GM
2012-11-16,23.920000,23.980000,23.389999,23.850000,20.422529,9647800,GM
2012-11-19,24.270000,24.940001,24.129999,24.930000,21.347321,7996800,GM
2012-11-20,24.900000,24.940001,24.379999,24.600000,21.064747,6578700,GM
2012-11-21,24.570000,24.969999,24.430000,24.600000,21.064747,4907700,GM
