Date,Open,High,Low,Close,Adj Close,Volume,GTIM
2015-01-02,7.030000,7.940000,6.880000,7.630000,7.630000,251300,GTIM
2015-01-05,7.640000,7.640000,7.000000,7.300000,7.300000,149900,GTIM
2015-01-06,7.310000,7.350000,7.100000,7.100000,7.100000,84600,GTIM
2015-01-07,7.130000,7.570000,7.130000,7.530000,7.530000,140500,GTIM
2015-01-08,7.600000,7.750000,7.370000,7.580000,7.580000,84500,GTIM
2015-01-09,7.650000,7.650000,7.320000,7.370000,7.370000,49900,GTIM
2015-01-12,7.340000,7.350000,7.100000,7.350000,7.350000,54900,GTIM
2015-01-13,7.270000,7.440000,7.180000,7.430000,7.430000,36900,GTIM
2015-01-14,7.300000,7.360000,6.900000,6.950000,6.950000,63800,GTIM
2015-01-15,6.950000,6.960000,6.650000,6.880000,6.880000,35500,GTIM
2015-01-16,6.790000,7.080000,6.620000,6.830000,6.830000,60200,GTIM
2015-01-20,6.810000,7.400000,6.760000,7.110000,7.110000,66100,GTIM
2015-01-21,7.130000,7.130000,6.800000,6.900000,6.900000,34800,GTIM
2015-01-22,6.750000,7.130000,6.730000,6.860000,6.860000,25500,GTIM
2015-01-23,6.910000,7.100000,6.850000,6.850000,6.850000,41000,GTIM
2015-01-26,6.850000,7.050000,6.850000,6.850000,6.850000,13800,GTIM
2015-01-27,6.870000,7.090000,6.600000,7.090000,7.090000,50600,GTIM
2015-01-28,7.000000,7.180000,6.920000,7.120000,7.120000,36900,GTIM
2015-01-29,7.120000,7.650000,7.020000,7.480000,7.480000,145600,GTIM
2015-01-30,7.460000,7.860000,7.170000,7.420000,7.420000,185200,GTIM
2015-02-02,7.460000,7.500000,7.290000,7.330000,7.330000,15500,GTIM
2015-02-03,7.350000,7.450000,7.050000,7.080000,7.080000,55600,GTIM
2015-02-04,7.040000,7.190000,7.030000,7.110000,7.110000,20500,GTIM
2015-02-05,7.160000,7.190000,7.100000,7.190000,7.190000,26700,GTIM
2015-02-06,7.220000,7.340000,7.120000,7.270000,7.270000,31700,GTIM
2015-02-09,7.210000,7.310000,6.920000,7.220000,7.220000,86400,GTIM
2015-02-10,7.370000,7.420000,7.000000,7.290000,7.290000,110800,GTIM
2015-02-11,7.500000,8.320000,7.370000,8.320000,8.320000,384800,GTIM
2015-02-12,8.350000,8.350000,7.900000,8.160000,8.160000,103100,GTIM
2015-02-13,8.120000,8.350000,8.050000,8.230000,8.230000,62700,GTIM
2015-02-17,8.400000,8.490000,8.050000,8.250000,8.250000,230500,GTIM
2015-02-18,8.360000,8.360000,8.110000,8.190000,8.190000,16000,GTIM
2015-02-19,null,null,null,null,null,null,GTIM
2015-02-20,8.330000,8.330000,8.190000,8.290000,8.290000,21200,GTIM
2015-02-23,8.200000,8.370000,8.040000,8.370000,8.370000,42600,GTIM
2015-02-24,8.400000,8.730000,8.300000,8.470000,8.470000,105300,GTIM
2015-02-25,8.490000,8.530000,8.160000,8.430000,8.430000,46300,GTIM
2015-02-26,8.350000,8.490000,8.200000,8.440000,8.440000,28600,GTIM
2015-02-27,8.510000,8.510000,8.270000,8.390000,8.390000,24700,GTIM
2015-03-02,8.370000,8.690000,8.030000,8.260000,8.260000,77000,GTIM
2015-03-03,8.220000,8.480000,8.060000,8.450000,8.450000,40100,GTIM
2015-03-04,8.380000,8.380000,8.060000,8.320000,8.320000,23800,GTIM
2015-03-05,8.260000,8.440000,8.060000,8.390000,8.390000,33900,GTIM
