Date,Open,High,Low,Close,Adj Close,Volume,H
2012-09-14,40.180000,41.860001,40.180000,41.500000,41.500000,1109200,H
2012-09-17,41.340000,41.660000,41.220001,41.369999,41.369999,233400,H
2012-09-18,41.380001,41.439999,40.959999,41.099998,41.099998,368200,H
2012-09-19,41.160000,41.799999,41.090000,41.450001,41.450001,453600,H
2012-09-20,41.279999,41.430000,40.799999,40.830002,40.830002,396300,H
2012-09-21,41.150002,41.270000,40.349998,40.400002,40.400002,574700,H
2012-09-24,40.220001,40.250000,39.799999,40.049999,40.049999,459800,H
2012-09-25,40.259998,40.580002,39.689999,39.799999,39.799999,452300,H
2012-09-26,39.730000,40.009998,39.360001,39.689999,39.689999,442800,H
2012-09-27,40.000000,40.500000,39.869999,40.490002,40.490002,702200,H
2012-09-28,40.099998,40.439999,39.900002,40.150002,40.150002,636700,H
2012-10-01,40.160000,40.349998,39.650002,39.650002,39.650002,515400,H
2012-10-02,39.880001,40.009998,39.020000,39.240002,39.240002,475300,H
2012-10-03,39.279999,39.680000,38.830002,38.889999,38.889999,385100,H
2012-10-04,39.250000,39.740002,38.540001,38.750000,38.750000,1061900,H
2012-10-05,38.919998,39.049999,38.220001,38.419998,38.419998,639300,H
2012-10-08,38.270000,38.709999,38.099998,38.430000,38.430000,319600,H
2012-10-09,38.410000,38.410000,37.759998,37.930000,37.930000,383100,H
2012-10-10,38.200001,38.240002,37.799999,37.970001,37.970001,426800,H
2012-10-11,38.049999,38.209999,37.759998,37.860001,37.860001,750600,H
2012-10-12,38.020000,38.279999,37.930000,38.240002,38.240002,440100,H
2012-10-15,38.400002,38.840000,37.959999,38.779999,38.779999,278800,H
2012-10-16,38.779999,39.180000,38.759998,39.099998,39.099998,321100,H
2012-10-17,39.009998,39.110001,38.820000,39.099998,39.099998,139200,H
2012-10-18,38.869999,39.200001,38.669998,39.119999,39.119999,858600,H
2012-10-19,39.000000,39.220001,38.820000,39.180000,39.180000,1335900,H
2012-10-22,39.360001,39.580002,39.020000,39.369999,39.369999,298800,H
2012-10-23,38.720001,39.099998,38.380001,38.599998,38.599998,1707500,H
2012-10-24,38.860001,38.919998,37.869999,38.099998,38.099998,243500,H
2012-10-25,38.349998,38.619999,37.689999,37.880001,37.880001,754500,H
2012-10-26,37.939999,38.369999,37.930000,38.060001,38.060001,817700,H
2012-10-31,37.000000,37.380001,35.660000,36.500000,36.500000,3944500,H
2012-11-01,35.509998,36.270000,35.250000,36.169998,36.169998,1934200,H
2012-11-02,35.849998,36.799999,35.849998,36.480000,36.480000,1288400,H
2012-11-05,36.389999,36.470001,35.389999,35.439999,35.439999,560500,H
2012-11-06,35.259998,35.619999,35.259998,35.570000,35.570000,468500,H
2012-11-07,35.330002,35.490002,34.750000,35.029999,35.029999,407700,H
2012-11-08,34.860001,35.080002,33.930000,34.439999,34.439999,804400,H
2012-11-09,34.380001,35.049999,34.330002,34.369999,34.369999,795000,H
2012-11-12,34.570000,34.570000,34.130001,34.240002,34.240002,250700,H
2012-11-13,34.119999,34.389999,33.849998,34.000000,34.000000,470200,H
2012-11-14,33.830002,34.150002,33.779999,33.900002,33.900002,637300,H
2012-11-15,33.730000,34.259998,33.730000,33.820000,33.820000,823300,H
2012-11-16,34.060001,34.799999,33.930000,34.590000,34.590000,1226400,H
2012-11-19,35.310001,36.480000,35.299999,36.279999,36.279999,1500700,H
2012-11-20,36.150002,36.500000,35.730000,35.750000,35.750000,1287100,H
2012-11-21,35.980000,36.099998,35.660000,35.779999,35.779999,466800,H
2012-11-23,36.049999,36.360001,35.860001,36.270000,36.270000,232700,H
2012-11-26,36.009998,36.099998,35.119999,35.189999,35.189999,671100,H
2012-11-27,35.730000,36.040001,35.259998,35.630001,35.630001,761900,H
2012-11-28,35.419998,36.099998,35.419998,36.000000,36.000000,773100,H
2012-11-29,36.070000,36.540001,36.070000,36.299999,36.299999,929900,H
2012-11-30,36.279999,36.529999,36.279999,36.500000,36.500000,493900,H
2012-12-03,36.549999,36.900002,36.419998,36.459999,36.459999,302600,H
2012-12-04,36.400002,36.889999,36.220001,36.529999,36.529999,381800,H
2012-12-05,36.500000,36.950001,36.270000,36.740002,36.740002,357500,H
2012-12-06,36.639999,37.049999,36.480000,36.810001,36.810001,362800,H
2012-12-07,36.330002,36.700001,36.279999,36.450001,36.450001,791900,H
2012-12-10,36.450001,36.750000,36.230000,36.639999,36.639999,425300,H
2012-12-11,36.900002,37.080002,36.580002,36.750000,36.750000,403100,H
2012-12-12,36.939999,37.110001,36.619999,36.860001,36.860001,308400,H
2012-12-13,36.389999,36.509998,36.169998,36.310001,36.310001,707300,H
2012-12-14,36.250000,36.830002,36.230000,36.520000,36.520000,402300,H
2012-12-17,36.650002,37.130001,36.599998,37.000000,37.000000,424900,H
2012-12-18,37.160000,37.520000,36.939999,37.450001,37.450001,398000,H
2012-12-19,37.610001,37.709999,37.189999,37.340000,37.340000,497900,H
2012-12-20,37.439999,39.000000,37.369999,38.889999,38.889999,482200,H
2012-12-21,38.470001,38.860001,38.369999,38.820000,38.820000,528400,H
2012-12-24,38.630001,38.930000,38.500000,38.849998,38.849998,145000,H
2012-12-26,38.820000,38.820000,38.090000,38.279999,38.279999,208900,H
2012-12-27,38.240002,38.410000,37.840000,38.349998,38.349998,225200,H
2012-12-28,38.189999,38.349998,37.799999,37.840000,37.840000,149400,H
2012-12-31,37.709999,38.630001,37.610001,38.570000,38.570000,231000,H
2013-01-02,38.580002,39.750000,38.580002,39.419998,39.419998,548400,H
2013-01-03,39.400002,39.669998,39.259998,39.419998,39.419998,395100,H
2013-01-04,39.520000,39.650002,39.310001,39.439999,39.439999,736400,H
2013-01-07,39.369999,39.509998,39.180000,39.279999,39.279999,461400,H
2013-01-08,39.189999,39.470001,38.689999,38.869999,38.869999,421600,H
2013-01-09,39.029999,39.200001,38.830002,39.029999,39.029999,279700,H
2013-01-10,39.189999,39.400002,39.060001,39.310001,39.310001,340600,H
2013-01-11,39.230000,39.380001,39.060001,39.380001,39.380001,259200,H
2013-01-14,39.270000,39.470001,38.799999,38.810001,38.810001,176000,H
2013-01-15,39.230000,39.230000,38.750000,39.099998,39.099998,570900,H
2013-01-16,38.990002,39.119999,38.680000,38.900002,38.900002,242500,H
2013-01-17,39.099998,39.320000,38.910000,39.099998,39.099998,285700,H
2013-01-18,39.110001,39.450001,39.099998,39.209999,39.209999,324700,H
2013-01-22,39.049999,39.990002,39.049999,39.919998,39.919998,404100,H
2013-01-23,39.840000,40.029999,39.639999,39.980000,39.980000,585700,H
2013-01-24,39.939999,40.230000,39.740002,39.930000,39.930000,313500,H
2013-01-25,40.000000,40.500000,39.990002,40.490002,40.490002,209100,H
2013-01-28,40.419998,40.680000,40.000000,40.480000,40.480000,187400,H
2013-01-29,40.480000,40.480000,40.090000,40.320000,40.320000,298600,H
2013-01-30,40.410000,40.410000,39.990002,40.029999,40.029999,229400,H
2013-01-31,40.029999,40.349998,39.860001,40.070000,40.070000,232400,H
2013-02-01,40.419998,40.599998,40.180000,40.230000,40.230000,258700,H
2013-02-04,40.049999,40.430000,39.950001,40.160000,40.160000,327000,H
2013-02-05,40.299999,40.919998,40.169998,40.790001,40.790001,345200,H
2013-02-06,40.830002,41.320000,40.770000,41.310001,41.310001,228300,H
2013-02-07,41.250000,41.349998,40.619999,41.209999,41.209999,260600,H
2013-02-08,41.259998,41.529999,41.000000,41.360001,41.360001,172800,H
2013-02-11,41.549999,41.799999,41.369999,41.590000,41.590000,255900,H
2013-02-12,41.599998,42.380001,41.540001,42.160000,42.160000,383000,H
2013-02-13,42.130001,42.150002,40.540001,41.820000,41.820000,686400,H
2013-02-14,42.250000,42.250000,40.970001,41.540001,41.540001,465800,H
2013-02-15,41.810001,42.580002,41.590000,42.340000,42.340000,572400,H
2013-02-19,42.330002,42.400002,41.689999,41.970001,41.970001,393300,H
2013-02-20,41.590000,41.950001,40.950001,40.980000,40.980000,315400,H
2013-02-21,40.959999,41.070000,40.360001,40.430000,40.430000,317200,H
2013-02-22,40.700001,40.700001,40.150002,40.619999,40.619999,419000,H
2013-02-25,40.689999,41.070000,39.980000,40.000000,40.000000,352500,H
2013-02-26,40.270000,40.430000,39.939999,40.169998,40.169998,195000,H
2013-02-27,40.299999,41.090000,40.099998,40.830002,40.830002,291400,H
2013-02-28,40.910000,41.209999,40.910000,41.090000,41.090000,341100,H
2013-03-01,40.919998,41.330002,40.639999,41.000000,41.000000,219700,H
2013-03-04,40.959999,41.090000,40.720001,40.860001,40.860001,172300,H
2013-03-05,41.020000,41.580002,40.990002,41.340000,41.340000,149400,H
2013-03-06,41.389999,41.820000,41.320000,41.450001,41.450001,153700,H
2013-03-07,41.410000,41.910000,41.400002,41.630001,41.630001,198900,H
2013-03-08,41.919998,42.410000,41.919998,42.389999,42.389999,278300,H
2013-03-11,42.340000,42.900002,41.990002,42.709999,42.709999,163700,H
2013-03-12,42.970001,42.970001,42.430000,42.680000,42.680000,236200,H
2013-03-13,42.799999,42.799999,42.410000,42.759998,42.759998,183700,H
2013-03-14,42.680000,43.360001,42.660000,43.310001,43.310001,169900,H
2013-03-15,43.139999,43.529999,43.139999,43.439999,43.439999,218300,H
2013-03-18,42.950001,43.340000,42.889999,43.189999,43.189999,132000,H
2013-03-19,43.299999,43.430000,42.610001,42.939999,42.939999,334000,H
