Date,Open,High,Low,Close,Adj Close,Volume,JVA
2012-09-14,8.460000,8.460000,7.650000,7.720000,7.622541,1142900,JVA
2012-09-17,7.700000,8.030000,7.330000,7.440000,7.346076,609500,JVA
2012-09-18,7.450000,7.980000,7.300000,7.800000,7.701532,873200,JVA
2012-09-19,7.760000,8.120000,7.550000,7.740000,7.642289,776600,JVA
2012-09-20,7.700000,8.080000,7.650000,7.800000,7.701532,753000,JVA
2012-09-21,7.870000,7.990000,7.720000,7.760000,7.662037,203400,JVA
2012-09-24,7.920000,7.920000,7.350000,7.590000,7.494183,208500,JVA
2012-09-25,7.840000,7.840000,7.260000,7.330000,7.237465,225900,JVA
2012-09-26,7.270000,7.270000,6.880000,6.960000,6.872137,391300,JVA
2012-09-27,7.020000,7.150000,7.000000,7.080000,6.990622,137000,JVA
2012-09-28,7.030000,7.090000,6.880000,7.060000,6.970874,121400,JVA
2012-10-01,7.070000,7.200000,6.910000,6.940000,6.852389,126300,JVA
2012-10-02,7.180000,7.360000,6.950000,7.190000,7.099233,146800,JVA
2012-10-03,7.140000,7.590000,7.120000,7.400000,7.306581,151900,JVA
2012-10-04,7.370000,7.740000,7.370000,7.460000,7.365824,158400,JVA
2012-10-05,7.460000,7.480000,7.150000,7.250000,7.158475,59200,JVA
2012-10-08,7.280000,7.330000,7.120000,7.270000,7.178223,61700,JVA
2012-10-09,7.330000,7.330000,7.120000,7.140000,7.049864,50000,JVA
2012-10-10,7.150000,7.220000,6.800000,6.960000,6.872137,152000,JVA
2012-10-11,6.830000,7.040000,6.800000,6.990000,6.901757,107300,JVA
2012-10-12,6.960000,7.020000,6.780000,6.890000,6.832343,105200,JVA
2012-10-15,6.950000,7.020000,6.840000,7.000000,6.941422,65500,JVA
2012-10-16,7.020000,7.020000,6.780000,6.870000,6.812510,85100,JVA
2012-10-17,6.960000,7.340000,6.820000,7.170000,7.110000,416000,JVA
2012-10-18,7.110000,7.500000,7.050000,7.180000,7.119916,265500,JVA
2012-10-19,7.130000,7.330000,6.880000,6.990000,6.931506,139400,JVA
2012-10-22,7.200000,7.200000,6.920000,7.080000,7.020753,89500,JVA
2012-10-23,7.120000,7.150000,6.930000,6.990000,6.931506,82800,JVA
2012-10-24,7.040000,7.110000,6.880000,6.910000,6.852176,135100,JVA
2012-10-25,6.930000,6.970000,6.800000,6.840000,6.782762,63600,JVA
2012-10-26,6.860000,6.880000,6.650000,6.660000,6.604268,111600,JVA
2012-10-31,6.760000,6.820000,6.310000,6.420000,6.366276,113800,JVA
2012-11-01,6.410000,6.870000,6.410000,6.720000,6.663765,137800,JVA
2012-11-02,6.750000,6.950000,6.720000,6.750000,6.693515,161100,JVA
2012-11-05,6.720000,6.750000,6.520000,6.640000,6.584435,58300,JVA
2012-11-06,6.670000,6.790000,6.500000,6.550000,6.495189,83300,JVA
2012-11-07,6.500000,6.660000,6.370000,6.500000,6.445607,60800,JVA
2012-11-08,6.640000,6.640000,6.390000,6.400000,6.346444,87700,JVA
2012-11-09,6.390000,6.490000,6.200000,6.210000,6.158033,110500,JVA
2012-11-12,6.290000,6.700000,6.070000,6.500000,6.445607,123900,JVA
2012-11-13,6.950000,6.950000,6.250000,6.400000,6.346444,84000,JVA
2012-11-14,6.400000,6.420000,6.120000,6.140000,6.088619,93800,JVA
2012-11-15,6.180000,6.470000,6.040000,6.070000,6.019205,68500,JVA
2012-11-16,6.100000,6.270000,6.050000,6.140000,6.088619,38900,JVA
2012-11-19,6.170000,6.580000,6.170000,6.490000,6.435690,137600,JVA
2012-11-20,6.690000,6.990000,6.450000,6.490000,6.435690,266800,JVA
2012-11-21,6.530000,6.680000,6.450000,6.650000,6.594352,68000,JVA
2012-11-23,6.860000,6.920000,6.650000,6.880000,6.822427,108800,JVA
2012-11-26,6.880000,6.950000,6.730000,6.900000,6.842259,93000,JVA
2012-11-27,6.900000,7.210000,6.900000,7.010000,6.951339,238700,JVA
2012-11-28,7.460000,7.660000,7.350000,7.380000,7.318243,565500,JVA
2012-11-29,7.420000,7.420000,7.080000,7.250000,7.189331,141000,JVA
2012-11-30,7.220000,7.250000,6.850000,6.940000,6.881925,172500,JVA
2012-12-03,6.960000,6.970000,6.750000,6.930000,6.872008,86400,JVA
2012-12-04,6.900000,7.200000,6.890000,7.160000,7.100083,125100,JVA
2012-12-05,7.240000,7.700000,7.240000,7.490000,7.427322,496100,JVA
2012-12-06,7.560000,7.720000,7.100000,7.170000,7.110000,185200,JVA
2012-12-07,7.180000,7.390000,7.080000,7.090000,7.030670,69800,JVA
2012-12-10,7.100000,7.380000,7.000000,7.090000,7.030670,175200,JVA
2012-12-11,7.010000,7.220000,7.010000,7.140000,7.080251,83200,JVA
2012-12-12,7.180000,7.280000,7.110000,7.170000,7.110000,66400,JVA
2012-12-13,7.070000,7.250000,6.960000,7.040000,7.040000,84200,JVA
2012-12-14,7.020000,7.110000,6.850000,7.010000,7.010000,135300,JVA
2012-12-17,7.410000,8.130000,7.410000,7.840000,7.840000,1030500,JVA
2012-12-18,7.840000,8.080000,7.650000,7.800000,7.800000,333100,JVA
2012-12-19,7.750000,7.890000,7.450000,7.550000,7.550000,216100,JVA
2012-12-20,7.600000,7.750000,7.350000,7.520000,7.520000,146900,JVA
2012-12-21,7.400000,7.400000,7.160000,7.190000,7.190000,124500,JVA
