Date,Open,High,Low,Close,Adj Close,Volume,NOK
2012-09-14,3.010000,3.140000,2.900000,2.980000,2.512078,100446300,NOK
2012-09-17,3.050000,3.090000,2.910000,2.970000,2.503649,48404700,NOK
2012-09-18,2.870000,2.950000,2.830000,2.900000,2.444640,47398300,NOK
2012-09-19,2.870000,2.900000,2.830000,2.890000,2.436210,27038500,NOK
2012-09-20,2.830000,2.870000,2.810000,2.850000,2.402491,28255300,NOK
2012-09-21,2.790000,2.820000,2.670000,2.770000,2.335053,53553200,NOK
2012-09-24,2.700000,2.770000,2.670000,2.740000,2.309764,23505800,NOK
2012-09-25,2.770000,2.780000,2.680000,2.700000,2.276044,30358000,NOK
2012-09-26,2.640000,2.650000,2.530000,2.590000,2.183316,50607100,NOK
2012-09-27,2.650000,2.690000,2.600000,2.670000,2.250755,29255000,NOK
2012-09-28,2.640000,2.670000,2.550000,2.580000,2.174886,60624700,NOK
2012-10-01,2.590000,2.790000,2.590000,2.760000,2.326623,70242400,NOK
2012-10-02,2.780000,2.810000,2.590000,2.620000,2.208606,53093700,NOK
2012-10-03,2.630000,2.670000,2.580000,2.660000,2.242325,30106100,NOK
2012-10-04,2.660000,2.690000,2.600000,2.640000,2.225466,26096200,NOK
2012-10-05,2.700000,2.710000,2.650000,2.680000,2.259185,15780400,NOK
2012-10-08,2.650000,2.680000,2.650000,2.680000,2.259185,10680600,NOK
2012-10-09,2.730000,2.760000,2.670000,2.680000,2.259185,21231000,NOK
2012-10-10,2.630000,2.650000,2.520000,2.600000,2.191746,33201800,NOK
2012-10-11,2.570000,2.600000,2.520000,2.550000,2.149597,29076600,NOK
2012-10-12,2.550000,2.590000,2.530000,2.560000,2.158027,25442000,NOK
2012-10-15,2.600000,2.690000,2.580000,2.680000,2.259185,22022700,NOK
2012-10-16,2.750000,2.850000,2.740000,2.820000,2.377202,48245600,NOK
2012-10-17,2.870000,2.940000,2.810000,2.940000,2.478359,49744900,NOK
2012-10-18,2.820000,2.950000,2.740000,2.800000,2.360342,125718200,NOK
2012-10-19,2.840000,2.850000,2.700000,2.740000,2.309764,42623200,NOK
2012-10-22,2.840000,2.870000,2.760000,2.810000,2.368772,47336300,NOK
2012-10-23,2.620000,2.720000,2.610000,2.680000,2.259185,60021600,NOK
2012-10-24,2.650000,2.670000,2.560000,2.560000,2.158027,27844400,NOK
2012-10-25,2.630000,2.660000,2.610000,2.630000,2.217036,22867000,NOK
2012-10-26,2.600000,2.610000,2.560000,2.560000,2.158027,26625600,NOK
2012-10-31,2.700000,2.720000,2.650000,2.670000,2.250755,24822200,NOK
2012-11-01,2.760000,2.860000,2.740000,2.850000,2.402491,35760200,NOK
2012-11-02,2.810000,2.850000,2.760000,2.800000,2.360342,29246300,NOK
2012-11-05,2.770000,2.830000,2.740000,2.770000,2.335053,21756200,NOK
2012-11-06,2.770000,2.820000,2.750000,2.770000,2.335053,21711600,NOK
2012-11-07,2.690000,2.710000,2.600000,2.640000,2.225466,41941000,NOK
2012-11-08,2.640000,2.680000,2.600000,2.620000,2.208606,23227300,NOK
2012-11-09,2.620000,2.670000,2.610000,2.650000,2.233896,22222700,NOK
2012-11-12,2.720000,2.740000,2.670000,2.710000,2.284474,15221600,NOK
2012-11-13,2.640000,2.700000,2.630000,2.690000,2.267615,20052100,NOK
2012-11-14,2.780000,2.790000,2.630000,2.670000,2.250755,34390700,NOK
2012-11-15,2.710000,2.780000,2.690000,2.720000,2.292904,34720700,NOK
2012-11-16,2.750000,2.800000,2.660000,2.770000,2.335053,33315000,NOK
