Date,Open,High,Low,Close,Adj Close,Volume,NYT
2012-09-14,9.740000,9.950000,9.720000,9.800000,9.365312,1444400,NYT
2012-09-17,9.740000,9.790000,9.620000,9.710000,9.279304,745700,NYT
2012-09-18,9.710000,9.760000,9.450000,9.500000,9.078618,1055300,NYT
2012-09-19,9.550000,9.710000,9.460000,9.500000,9.078618,1156400,NYT
2012-09-20,9.450000,9.530000,9.350000,9.520000,9.097730,797100,NYT
2012-09-21,9.650000,9.700000,9.540000,9.580000,9.155068,1414900,NYT
2012-09-24,9.550000,9.670000,9.470000,9.590000,9.164625,650100,NYT
2012-09-25,9.680000,9.910000,9.580000,9.600000,9.174184,1036800,NYT
2012-09-26,9.640000,9.740000,9.510000,9.600000,9.174184,876600,NYT
2012-09-27,9.660000,9.930000,9.600000,9.910000,9.470431,1040500,NYT
2012-09-28,9.840000,10.020000,9.730000,9.760000,9.327085,1347100,NYT
2012-10-01,9.800000,9.830000,9.600000,9.720000,9.288861,940500,NYT
2012-10-02,9.770000,9.860000,9.670000,9.730000,9.298415,573400,NYT
2012-10-03,9.720000,9.810000,9.630000,9.670000,9.241078,495200,NYT
2012-10-04,9.740000,10.010000,9.630000,10.010000,9.565998,1073200,NYT
2012-10-05,10.050000,10.330000,9.960000,10.270000,9.814465,1371100,NYT
2012-10-08,10.200000,10.200000,10.000000,10.060000,9.613779,915700,NYT
2012-10-09,10.040000,10.100000,9.960000,10.050000,9.604222,860600,NYT
2012-10-10,10.040000,10.090000,9.830000,9.980000,9.537326,812800,NYT
2012-10-11,10.410000,10.630000,10.250000,10.350000,9.890917,2176700,NYT
2012-10-12,10.340000,10.400000,10.100000,10.380000,9.919586,891700,NYT
2012-10-15,10.420000,10.920000,10.220000,10.880000,10.397407,1921700,NYT
2012-10-16,10.920000,10.970000,10.620000,10.710000,10.234946,1125000,NYT
2012-10-17,10.750000,10.890000,10.650000,10.870000,10.387850,641800,NYT
2012-10-18,10.830000,11.070000,10.740000,10.830000,10.349626,892100,NYT
2012-10-19,10.790000,10.800000,10.260000,10.670000,10.196720,1680300,NYT
2012-10-22,10.670000,10.870000,10.540000,10.860000,10.378293,1453400,NYT
2012-10-23,10.730000,10.730000,10.460000,10.560000,10.091602,999000,NYT
2012-10-24,10.610000,10.730000,10.510000,10.650000,10.177606,2190900,NYT
2012-10-25,9.990000,10.030000,8.170000,8.310000,7.941403,8817600,NYT
2012-10-26,8.320000,8.340000,8.110000,8.190000,7.826725,2368400,NYT
2012-10-31,8.190000,8.290000,7.990000,8.180000,7.817169,2212300,NYT
2012-11-01,8.220000,8.810000,8.050000,8.800000,8.409670,3148400,NYT
2012-11-02,8.770000,8.860000,8.650000,8.780000,8.390555,2396100,NYT
2012-11-05,8.790000,8.890000,8.460000,8.480000,8.103860,2772400,NYT
2012-11-06,8.630000,8.710000,8.500000,8.690000,8.304545,1819000,NYT
2012-11-07,8.590000,8.660000,8.160000,8.160000,7.798056,1798200,NYT
2012-11-08,8.170000,8.320000,8.160000,8.210000,7.845837,1177800,NYT
2012-11-09,8.190000,8.520000,8.120000,8.410000,8.036966,1608400,NYT
2012-11-12,8.410000,8.510000,8.050000,8.200000,7.836280,1251600,NYT
